"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"HPA","Cervix; squamous epithelial cells[≥Medium]","HPA:0630222","false","1.362745423320023e-7","6.865585267843797","3727","26","24","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Small intestine; glandular cells[High]","HPA:0480053","false","1.544643542458891e-7","6.811171726856776","2551","26","21","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 2; cells in spinous layer[≥Medium]","HPA:0471412","false","1.6239805104588269e-7","6.7894191870720455","682","26","13","11007","SRSF3,SRSF6,SRSF7,SRSF9,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Liver; cholangiocytes[≥Medium]","HPA:0291162","false","1.8411026215488505e-7","6.734922003603385","1961","26","19","11007","U2AF1,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Breast; adipocytes[High]","HPA:0050013","false","1.863624736858394e-7","6.729641533569492","311","26","10","11007","SRSF3,SRSF4,SRSF6,HNRNPA2B1,HNRNPC,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Bone marrow; hematopoietic cells[High]","HPA:0040083","false","1.9284342333212083e-7","6.714795167579751","1457","26","17","11007","U2AF1,SRSF1,SRSF3,SRSF6,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Colon; endothelial cells[High]","HPA:0130203","false","1.956645819767086e-7","6.708487780597269","855","26","14","11007","U2AF1,RBMX,SRSF3,SRSF6,SRSF11,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Tonsil; squamous epithelial cells[High]","HPA:0600223","false","2.2430905967883524e-7","6.649153185226361","1471","26","17","11007","U2AF1,RBMX,SRSF2,SRSF3,SRSF4,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Hippocampus; glial cells[High]","HPA:0250123","false","2.2620140257376697e-7","6.645504706536298","555","26","12","11007","SRSF1,SRSF3,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 1; cells in granular layer[≥Medium]","HPA:0460182","false","2.3570229651570533e-7","6.627636185998207","557","26","12","11007","SRSF3,SRSF6,SRSF7,SRSF9,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Oral mucosa; squamous epithelial cells[≥Medium]","HPA:0330222","false","2.475544136471452e-7","6.606329326228023","4355","26","25","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Soft tissue 2; fibroblasts[≥Medium]","HPA:0510652","false","2.5320024468453206e-7","6.59653587896633","2616","26","21","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 2; cells in granular layer[≥Medium]","HPA:0470182","false","2.6105713042545973e-7","6.583264440119846","562","26","12","11007","SRSF3,SRSF6,SRSF7,SRSF9,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Skin 1; cells in granular layer[≥Low]","HPA:0460181","false","2.6644472251356695e-7","6.574392877434459","710","26","13","11007","SRSF3,SRSF6,SRSF7,SRSF9,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Breast; adipocytes[≥Medium]","HPA:0050012","false","2.7468947349888846e-7","6.56115798305829","1490","26","17","11007","U2AF1,RBMX,SRSF1,SRSF3,SRSF4,SRSF6,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
